family,species,category,invasiveness,growth_type,topography
Campanulaceae,Adenophora triphylla var. japonica,native,N,herbaceous,ridge_summit
Brassicaceae,Cardamine flexuosa,native,N,herbaceous,lower_slope
Liliaceae,Asparagus schoberioides,native,N,herbaceous,lower_slope
Rosaceae,Sanguisorba hakusanensis,native,N,herbaceous,upper_slope
Asteraceae,Taraxacum platycarpum,native,N,herbaceous,lower_slope
Violaceae,Viola keiskei,native,N,herbaceous,lower_slope
Violaceae,Viola orientalis,native,N,herbaceous,upper_slope
Fabaceae,Vicia venosa var. cuspidata,native,NA,herbaceous,upper_slope
Dryopteridaceae,Polystichum tripteron,native,N,herbaceous,upper_slope
Fumariaceae,Corydalis remota,native,N,herbaceous,upper_slope
Ranunculaceae,Hepatica asiatica,native,N,herbaceous,lower_slope
Rubiaceae,Rubia chinensis,native,N,herbaceous,lower_slope
Asteraceae,Artemisia montana,native,N,herbaceous,lower_slope
Asteraceae,Crepidiastrum sonchifolium,native,N,herbaceous,lower_slope
Brassicaceae,Capsella bursa-pastoris,native,N,herbaceous,lower_slope
Thelypteridaceae,Thelypteris japonica,native,N,herbaceous,lower_slope
Scrophulariaceae,Melampyrum roseum var. ovalifolium,native,N,herbaceous,lower_slope
Rubiaceae,Mitchella undulata,native,N,herbaceous,lower_slope
Thelypteridaceae,Thelypteris japonica,native,N,herbaceous,ridge_summit
Asteraceae,Solidago virgaurea subsp. asiatica,native,N,herbaceous,ridge_summit
Primulaceae,Lysimachia barystachys,native,N,herbaceous,ridge_summit
Poaceae,Cymbopogon tortilis var. goeringii,native,N,herbaceous,ridge_summit
Violaceae,Viola mandshurica,native,N,herbaceous,ridge_summit
Scrophulariaceae,Melampyrum roseum,native,N,herbaceous,ridge_summit
Dioscoreaceae,Dioscorea quinqueloba,native,N,herbaceous,ridge_summit
Dryopteridaceae,Dryopteris erythrosora,native,N,herbaceous,lower_slope
Asteraceae,Pseudognaphalium affine,native,N,herbaceous,upper_slope
Cyperaceae,Carex sabynensis,native,N,herbaceous,upper_slope
Asteraceae,Dendranthema zawadskii var. latilobum,native,N,herbaceous,ridge_summit
Lamiaceae,Mosla punctulata,native,N,herbaceous,ridge_summit
Asteraceae,Saussurea seoulensis,native,N,herbaceous,upper_slope
Polygonaceae,Polygonum pubescens,native,N,herbaceous,upper_slope
Liliaceae,Veratrum patulum,native,N,herbaceous,upper_slope
Asteraceae,Dendranthema indicum,native,N,herbaceous,upper_slope
Papaveraceae,Dicentra spectabilis,native,N,herbaceous,upper_slope
Berberidaceae,Caulophyllum robustum,native,N,herbaceous,upper_slope
Ranunculaceae,Hepatica asiatica,native,N,herbaceous,upper_slope
Balsaminaceae,Impatiens textori,native,N,herbaceous,upper_slope
Liliaceae,Lilium lancifolium,native,N,herbaceous,upper_slope
Liliaceae,Lilium lancifolium,native,N,herbaceous,lower_slope
Clusiaceae,Hypericum ascyron,native,N,herbaceous,lower_slope
Asteraceae,Crepidiastrum sonchifolium,native,N,herbaceous,upper_slope
Urticaceae,Boehmeria platanifolia,native,N,herbaceous,upper_slope
Athyriaceae,Athyrium sinense,native,N,herbaceous,upper_slope
Lamiaceae,Salvia chanroenica,native,N,herbaceous,upper_slope
Ranunculaceae,Actaea asiatica,native,N,herbaceous,upper_slope
Gentianaceae,Swertia triflora f. japonica,native,N,herbaceous,upper_slope
Rubiaceae,Galium trachyspermum,native,N,herbaceous,upper_slope
Ranunculaceae,Cimicifuga dahurica,native,N,herbaceous,upper_slope
Asteraceae,Dendranthema indicum,native,N,herbaceous,lower_slope
Rubiaceae,Galium trachyspermum,native,N,herbaceous,lower_slope
Fabaceae,Desmodium podocarpum subsp. oxyphyllum,native,N,herbaceous,lower_slope
Ranunculaceae,Thalictrum rochebruneanum var. grandisepalum,native,N,herbaceous,upper_slope
Dennstaedtiaceae,Dennstaedtia wilfordii,native,N,herbaceous,upper_slope
Violaceae,Viola orientalis,native,N,herbaceous,ridge_summit
Asteraceae,Ainsliaea acerifolia,native,N,herbaceous,ridge_summit
Dioscoreaceae,Dioscorea tokoro,native,N,herbaceous,ridge_summit
Aristolochiaceae,Asarum sieboldii,native,N,herbaceous,ridge_summit
Chloranthaceae,Chloranthus fortunei,native,N,herbaceous,upper_slope
Araceae,Arisaema peninsulae,native,N,herbaceous,upper_slope
Ranunculaceae,Aconitum jaluense,native,N,herbaceous,upper_slope
Violaceae,Viola orientalis,native,N,herbaceous,lower_slope
Liliaceae,Hemerocallis hakuunensis,native,N,herbaceous,lower_slope
Dryopteridaceae,Polystichum tripteron,native,N,herbaceous,lower_slope
Ranunculaceae,Thalictrum actaeifolium var. brevistylum,native,N,herbaceous,lower_slope
Liliaceae,Convallaria keiskei,native,N,herbaceous,lower_slope
Araceae,Arisaema peninsulae,native,N,herbaceous,lower_slope
Liliaceae,Veratrum versicolor,native,N,herbaceous,lower_slope
Dryopteridaceae,Polystichum tripteron,native,N,herbaceous,ridge_summit
Rubiaceae,Galium pogonanthum,native,N,herbaceous,valley_flatland
Pyrolaceae,Pyrola japonica,native,N,herbaceous,valley_flatland
Rosaceae,Potentilla freyniana,native,N,herbaceous,valley_flatland
Cyperaceae,Carex okamotoi,native,N,herbaceous,valley_flatland
Poaceae,Spodiopogon sibiricus,native,N,herbaceous,valley_flatland
Asteraceae,Eupatorium tripartitum,native,N,herbaceous,valley_flatland
Ranunculaceae,Thalictrum actaeifolium var. brevistylum,native,N,herbaceous,upper_slope
Liliaceae,Polygonatum inflatum,native,N,herbaceous,upper_slope
Urticaceae,Boehmeria longispica,native,N,herbaceous,upper_slope
Rubiaceae,Asperula odorata,native,N,herbaceous,lower_slope
Onocleaceae,Onoclea sensibilis,native,N,herbaceous,lower_slope
Lamiaceae,Meehania urticifolia,native,N,herbaceous,valley_flatland
Dioscoreaceae,Dioscorea nipponica,native,N,herbaceous,valley_flatland
Aristolochiaceae,Asarum sieboldii,native,N,herbaceous,valley_flatland
Violaceae,Viola rossii,native,N,herbaceous,valley_flatland
Polygonaceae,Fallopia dentatoalata,native,N,herbaceous,upper_slope
Asteraceae,Artemisia stolonifera,native,N,herbaceous,valley_flatland
Liliaceae,Asparagus schoberioides,native,N,herbaceous,valley_flatland
Asteraceae,Dendranthema zawadskii var. latilobum,native,N,herbaceous,valley_flatland
Iridaceae,Iris rossii,native,N,herbaceous,valley_flatland
Brassicaceae,Berteroella maximowiczii,native,N,herbaceous,valley_flatland
Fabaceae,Sophora flavescens,native,N,herbaceous,valley_flatland
Violaceae,Viola variegata,native,N,herbaceous,valley_flatland
Crassulaceae,Sedum kamtschaticum,native,N,herbaceous,valley_flatland
Dioscoreaceae,Dioscorea japonica,native,N,herbaceous,valley_flatland
Lamiaceae,Isodon japonicus,native,N,herbaceous,valley_flatland
Asteraceae,Crepidiastrum denticulatum,native,NA,herbaceous,valley_flatland
Rubiaceae,Galium trifloriforme,native,N,herbaceous,valley_flatland
Boraginaceae,Lithospermum erythrorhizon,native,N,herbaceous,valley_flatland
Berberidaceae,Jeffersonia dubia,native,N,herbaceous,upper_slope
Apiaceae,Cymopterus melanotilingia,native,N,herbaceous,upper_slope
Poaceae,Melica nutans,native,N,herbaceous,upper_slope
Papaveraceae,Coreanomecon hylomeconoides,native,N,herbaceous,upper_slope
Apocynaceae,Cynanchum ascyrifolium,native,N,herbaceous,upper_slope
Rubiaceae,Rubia chinensis,native,N,herbaceous,upper_slope
Violaceae,Viola phalacrocarpa,native,N,herbaceous,upper_slope
Fabaceae,Vicia chosenensis,native,N,herbaceous,lower_slope
Ranunculaceae,Cimicifuga heracleifolia var. bifida,native,N,herbaceous,lower_slope
Violaceae,Viola phalacrocarpa,native,N,herbaceous,lower_slope
Rubiaceae,Galium trifloriforme,native,N,herbaceous,lower_slope
Liliaceae,Lilium tsingtauense,native,N,herbaceous,upper_slope
Ranunculaceae,Cimicifuga heracleifolia var. bifida,native,N,herbaceous,upper_slope
Valerianaceae,Patrinia scabiosifolia,native,N,herbaceous,lower_slope
Asteraceae,Euchiton japonicus,native,N,herbaceous,lower_slope
Liliaceae,Lilium leichtlinii var. maximowiczii,native,NA,herbaceous,lower_slope
Liliaceae,Hemerocallis dumortieri,native,N,herbaceous,valley_flatland
Araceae,Arisaema amurense f. serratum,native,N,herbaceous,valley_flatland
Athyriaceae,Athyrium vidalii,native,N,herbaceous,valley_flatland
Dryopteridaceae,Dryopteris lacera,native,NA,herbaceous,valley_flatland
Chloranthaceae,Chloranthus japonicus,native,N,herbaceous,valley_flatland
Campanulaceae,Adenophora triphylla var. japonica,native,N,herbaceous,valley_flatland
Asteraceae,Hieracium umbellatum,native,N,herbaceous,upper_slope
Scrophulariaceae,Melampyrum roseum var. japonicum,native,N,herbaceous,upper_slope
Campanulaceae,Adenophora remotiflora,native,N,herbaceous,upper_slope
Onagraceae,Circaea cordata,native,N,herbaceous,upper_slope
Scrophulariaceae,Melampyrum roseum var. japonicum,native,N,herbaceous,lower_slope
Lamiaceae,Salvia japonica,native,N,herbaceous,upper_slope
Violaceae,Viola grypoceras,native,N,herbaceous,upper_slope
Fabaceae,Vicia venosa var. cuspidata,native,NA,herbaceous,valley_flatland
Apocynaceae,Cynanchum wilfordii,native,N,herbaceous,valley_flatland
Liliaceae,Lilium leichtlinii var. maximowiczii,native,NA,herbaceous,valley_flatland
Rubiaceae,Galium verum var. asiaticum,native,N,herbaceous,valley_flatland
Caryophyllaceae,Silene firma,native,N,herbaceous,valley_flatland
Scrophulariaceae,Melampyrum roseum var. japonicum,native,N,herbaceous,valley_flatland
Caryophyllaceae,Silene seoulensis,native,N,herbaceous,upper_slope
Poaceae,Diarrhena japonica,native,N,herbaceous,upper_slope
Ranunculaceae,Paeonia obovata,native,N,herbaceous,upper_slope
Equisetaceae,Equisetum arvense,native,N,herbaceous,valley_flatland
Liliaceae,Convallaria keiskei,native,N,herbaceous,valley_flatland
Dioscoreaceae,Dioscorea tokoro,native,N,herbaceous,valley_flatland
Ranunculaceae,Cimicifuga heracleifolia var. bifida,native,N,herbaceous,valley_flatland
Ranunculaceae,Hepatica asiatica,native,N,herbaceous,valley_flatland
Ranunculaceae,Aconitum jaluense,native,N,herbaceous,valley_flatland
Orchidaceae,Platanthera ussuriensis,native,N,herbaceous,upper_slope
Fabaceae,Lathyrus davidii,native,N,herbaceous,upper_slope
Boraginaceae,Lithospermum erythrorhizon,native,N,herbaceous,upper_slope
Apiaceae,Cymopterus melanotilingia,native,N,herbaceous,lower_slope
Liliaceae,Lilium tsingtauense,native,N,herbaceous,lower_slope
Apocynaceae,Cynanchum ascyrifolium,native,N,herbaceous,lower_slope
Asteraceae,Aster ageratoides,native,N,herbaceous,lower_slope
Dioscoreaceae,Dioscorea septemloba,native,N,herbaceous,lower_slope
Brassicaceae,Berteroella maximowiczii,native,N,herbaceous,lower_slope
Asteraceae,Syneilesis palmata,native,N,herbaceous,ridge_summit
Scrophulariaceae,Melampyrum setaceum,native,N,herbaceous,ridge_summit
Valerianaceae,Patrinia scabiosifolia,native,N,herbaceous,ridge_summit
Asteraceae,Leontopodium leontopodioides,native,N,herbaceous,ridge_summit
Campanulaceae,Adenophora remotiflora,native,N,herbaceous,ridge_summit
Brassicaceae,Cardamine amariformis,native,N,herbaceous,valley_flatland
Brassicaceae,Cardamine leucantha,native,N,herbaceous,valley_flatland
Poaceae,Diarrhena japonica,native,N,herbaceous,valley_flatland
Convallariaceae,Smilacina japonica,native,N,herbaceous,valley_flatland
Caryophyllaceae,Pseudostellaria palibiniana,native,N,herbaceous,valley_flatland
Liliaceae,Polygonatum involucratum,native,N,herbaceous,valley_flatland
Liliaceae,Disporum viridescens,native,N,herbaceous,valley_flatland
Violaceae,Viola grypoceras,native,N,herbaceous,lower_slope
Poaceae,Melica onoei,native,N,herbaceous,valley_flatland
Asteraceae,Carpesium divaricatum,native,N,herbaceous,valley_flatland
Apiaceae,Angelica reflexa,native,N,herbaceous,upper_slope
Poaceae,Sasa japonica,native,N,herbaceous,upper_slope
Polygonaceae,Rumex acetosa,native,N,herbaceous,upper_slope
Violaceae,Viola selkirkii,native,N,herbaceous,ridge_summit
Hyacinthaceae,Scilla scilloides,native,N,herbaceous,upper_slope
Asteraceae,Taraxacum officinale,exotic,N,herbaceous,lower_slope
Asteraceae,Aster pilosus,exotic,Y,herbaceous,lower_slope
Lamiaceae,Scutellaria pekinensis var. transitra,native,N,herbaceous,upper_slope
Caryophyllaceae,Pseudostellaria setulosa,native,N,herbaceous,lower_slope
Violaceae,Viola collina,native,NA,herbaceous,lower_slope
Asteraceae,Ambrosia artemisiifolia,exotic,Y,herbaceous,lower_slope
Polygonaceae,Rumex crispus,exotic,N,herbaceous,lower_slope
Convolvulaceae,Cuscuta australis,native,N,herbaceous,lower_slope
Urticaceae,Pilea japonica,native,N,herbaceous,lower_slope
Asteraceae,Galinsoga quadriradiata,exotic,N,herbaceous,lower_slope
Asteraceae,Aster yomena,native,N,herbaceous,lower_slope
Onagraceae,Circaea mollis,native,N,herbaceous,lower_slope
Clusiaceae,Hypericum erectum,native,N,herbaceous,upper_slope
Fabaceae,Kummerowia striata,native,N,herbaceous,upper_slope
Thelypteridaceae,Thelypteris japonica,native,N,herbaceous,upper_slope
Tiliaceae,Corchoropsis tomentosa,native,N,herbaceous,upper_slope
Onocleaceae,Pentarhizidium orientale,native,N,herbaceous,upper_slope
Athyriaceae,Deparia japonica,native,N,herbaceous,lower_slope
Araceae,Arisaema amurense f. serratum,native,N,herbaceous,ridge_summit
Aristolochiaceae,Asarum maculatum,native,N,herbaceous,ridge_summit
Athyriaceae,Deparia japonica,native,N,herbaceous,ridge_summit
Caryophyllaceae,Pseudostellaria davidii,native,N,herbaceous,ridge_summit
Thelypteridaceae,Thelypteris palustris,native,N,herbaceous,ridge_summit
Liliaceae,Polygonatum lasianthum,native,N,herbaceous,lower_slope
Poaceae,Phaenosperma globosum,native,N,herbaceous,lower_slope
Lamiaceae,Scutellaria indica,native,N,herbaceous,ridge_summit
Chloranthaceae,Chloranthus japonicus,native,N,herbaceous,ridge_summit
Araceae,Pinellia tripartita,native,N,herbaceous,ridge_summit
Fabaceae,Dunbaria villosa,native,N,herbaceous,upper_slope
Orchidaceae,Oreorchis patens,native,N,herbaceous,upper_slope
Urticaceae,Pilea peploides,native,N,herbaceous,upper_slope
Dryopteridaceae,Dryopteris varia,native,N,herbaceous,upper_slope
Fabaceae,Dunbaria villosa,native,N,herbaceous,lower_slope
Rubiaceae,Galium spurium var. echospermum,exotic,N,herbaceous,lower_slope
Caryophyllaceae,Pseudostellaria heterophylla,native,N,herbaceous,ridge_summit
Aristolochiaceae,Asarum maculatum,native,N,herbaceous,upper_slope
Violaceae,Viola collina,native,NA,herbaceous,ridge_summit
Liliaceae,Polygonatum involucratum,native,N,herbaceous,ridge_summit
Rubiaceae,Galium trachyspermum,native,N,herbaceous,ridge_summit
Liliaceae,Liriope platyphylla,native,N,herbaceous,ridge_summit
Liliaceae,Polygonatum lasianthum,native,N,herbaceous,ridge_summit
Liliaceae,Asparagus schoberioides,native,N,herbaceous,ridge_summit
Urticaceae,Pilea mongolica,native,N,herbaceous,ridge_summit
Polygonaceae,Polygonum senticosum,native,N,herbaceous,ridge_summit
Orchidaceae,Cephalanthera longibracteata,native,N,herbaceous,ridge_summit
Ranunculaceae,Actaea asiatica,native,N,herbaceous,ridge_summit
Poaceae,Themeda triandra subsp. japonica,native,N,herbaceous,lower_slope
Caryophyllaceae,Dianthus chinensis,native,N,herbaceous,lower_slope
Brassicaceae,Dontostemon dentatus,native,N,herbaceous,lower_slope
Cyperaceae,Carex neurocarpa,native,N,herbaceous,lower_slope
Polygalaceae,Polygala tenuifolia,native,N,herbaceous,lower_slope
Poaceae,Cymbopogon tortilis var. goeringii,native,N,herbaceous,lower_slope
Euphorbiaceae,Euphorbia sieboldiana,native,N,herbaceous,lower_slope
Athyriaceae,Deparia conilii,native,N,herbaceous,lower_slope
Asteraceae,Dendranthema zawadskii,native,N,herbaceous,upper_slope
Iridaceae,Iris lactea var. chinensis,native,N,herbaceous,upper_slope
Athyriaceae,Deparia conilii,native,N,herbaceous,upper_slope
Apiaceae,Sium suave,native,N,herbaceous,upper_slope
Tiliaceae,Corchoropsis tomentosa,native,N,herbaceous,lower_slope
Fabaceae,Lathyrus davidii,native,N,herbaceous,lower_slope
Ranunculaceae,Cimicifuga simplex,native,N,herbaceous,lower_slope
Orchidaceae,Oreorchis patens,native,N,herbaceous,lower_slope
Polygonaceae,Polygonum lapathifolium,native,N,herbaceous,lower_slope
Poaceae,Agropyron tsukushiense var. transiens,native,N,herbaceous,upper_slope
Rosaceae,Potentilla discolor,native,N,herbaceous,upper_slope
Liliaceae,Asparagus cochinchinensis,native,N,herbaceous,upper_slope
Dryopteridaceae,Polystichum polyblepharum,native,N,herbaceous,upper_slope
Poaceae,Phaenosperma globosum,native,N,herbaceous,upper_slope
Poaceae,Lophatherum gracile,native,N,herbaceous,lower_slope
Poaceae,Lophatherum gracile,native,N,herbaceous,upper_slope
Asteraceae,Aster yomena,native,N,herbaceous,upper_slope
Poaceae,Eulalia speciosa,native,N,herbaceous,upper_slope
Liliaceae,Allium microdictyon,native,N,herbaceous,upper_slope
Poaceae,Calamagrostis epigejos,native,N,herbaceous,upper_slope
Liliaceae,Paris verticillata,native,N,herbaceous,upper_slope
Asteraceae,Parasenecio hastatus subsp. orientalis,native,N,herbaceous,upper_slope
Asteraceae,Ligularia fischeri,native,N,herbaceous,upper_slope
Saxifragaceae,Saxifraga fortunei var. incisolobata,native,NA,herbaceous,upper_slope
Asteraceae,Bidens bipinnata,native,N,herbaceous,upper_slope
Ranunculaceae,Pulsatilla cernua var. koreana,native,N,herbaceous,lower_slope
Asteraceae,Adenocaulon himalaicum,native,N,herbaceous,upper_slope
Asteraceae,Adenocaulon himalaicum,native,N,herbaceous,lower_slope
Lamiaceae,Elsholtzia splendens,native,N,herbaceous,upper_slope
Asteraceae,Aster meyendorffii,native,N,herbaceous,lower_slope
Asteraceae,Petasites japonicus,native,N,herbaceous,upper_slope
Violaceae,Viola verecunda,native,N,herbaceous,ridge_summit
Lamiaceae,Elsholtzia ciliata,native,N,herbaceous,ridge_summit
Rubiaceae,Galium spurium var. echospermum,exotic,N,herbaceous,ridge_summit
Asteraceae,Petasites japonicus,native,N,herbaceous,lower_slope
Cyperaceae,NA,native,N,herbaceous,valley_flatland
Athyriaceae,Deparia japonica,native,N,herbaceous,valley_flatland
Poaceae,Bothriochloa ischaemum,native,N,herbaceous,valley_flatland
Liliaceae,Veratrum versicolor,native,N,herbaceous,valley_flatland
Urticaceae,Boehmeria tricuspis,native,N,herbaceous,valley_flatland
Liliaceae,Liriope spicata,native,N,herbaceous,valley_flatland
Fabaceae,Amphicarpaea bracteata subsp. edgeworthii,native,N,herbaceous,valley_flatland
Cucurbitaceae,Sicyos angulatus,exotic,Y,herbaceous,valley_flatland
Poaceae,Miscanthus sacchariflorus,native,N,herbaceous,valley_flatland
Caryophyllaceae,Stellaria media,exotic,N,herbaceous,valley_flatland
Cucurbitaceae,Melothria japonica,native,N,herbaceous,valley_flatland
Lamiaceae,Leonurus japonicus,native,N,herbaceous,valley_flatland
Asteraceae,Aster pilosus,exotic,Y,herbaceous,valley_flatland
Poaceae,Phragmites communis,native,N,herbaceous,valley_flatland
Apocynaceae,Metaplexis japonica,native,N,herbaceous,valley_flatland
Asteraceae,Xanthium canadense,exotic,N,herbaceous,valley_flatland
Solanaceae,Solanum lyratum,native,N,herbaceous,valley_flatland
Poaceae,Phragmites japonicus,native,N,herbaceous,valley_flatland
Poaceae,Panicum bisulcatum,native,N,herbaceous,valley_flatland
Polygonaceae,Polygonum lapathifolium,native,N,herbaceous,valley_flatland
Poaceae,Bothriochloa ischaemum,native,N,herbaceous,lower_slope
Liliaceae,Polygonatum lasianthum,native,N,herbaceous,upper_slope
Poaceae,Poa sphondylodes,native,N,herbaceous,upper_slope
Acanthaceae,Justicia procumbens,native,N,herbaceous,lower_slope
Oxalidaceae,Oxalis corniculata,exotic,N,herbaceous,valley_flatland
Poaceae,Poa sphondylodes,native,N,herbaceous,valley_flatland
Convolvulaceae,Ipomoea purpurea,exotic,N,herbaceous,lower_slope
Poaceae,Calamagrostis epigejos,native,N,herbaceous,lower_slope
Poaceae,Eragrostis ferruginea,native,N,herbaceous,lower_slope
Asteraceae,Crassocephalum crepidioides,exotic,N,herbaceous,ridge_summit
Poaceae,Poa sphondylodes,native,N,herbaceous,ridge_summit
Araceae,Arisaema ringens,native,N,herbaceous,upper_slope
Apiaceae,Glehnia littoralis,native,N,herbaceous,upper_slope
Lamiaceae,Ajuga decumbens,native,N,herbaceous,upper_slope
Ranunculaceae,Semiaquilegia adoxoides,native,N,herbaceous,upper_slope
Urticaceae,Boehmeria pannosa,native,N,herbaceous,upper_slope
Lamiaceae,Lamium album var. barbatum,native,N,herbaceous,upper_slope
Apiaceae,Angelica dahurica,native,N,herbaceous,upper_slope
Poaceae,Hierochloe odorata,native,N,herbaceous,upper_slope
Fabaceae,Desmodium podocarpum subsp. oxyphyllum,native,N,herbaceous,valley_flatland
Asteraceae,Youngia japonica,native,N,herbaceous,valley_flatland
Urticaceae,Pilea mongolica,native,N,herbaceous,valley_flatland
Apiaceae,Sanicula chinensis,native,N,herbaceous,valley_flatland
Asteraceae,Conyza canadensis,exotic,N,herbaceous,valley_flatland
Violaceae,Viola mandshurica,native,N,herbaceous,valley_flatland
Polygonaceae,Polygonum perfoliatum,native,N,herbaceous,valley_flatland
Fumariaceae,Corydalis incisa,native,N,herbaceous,valley_flatland
Lamiaceae,Scutellaria indica,native,N,herbaceous,valley_flatland
Onagraceae,Circaea mollis,native,N,herbaceous,valley_flatland
Rubiaceae,Galium spurium var. echospermum,exotic,N,herbaceous,valley_flatland
Caryophyllaceae,Cerastium holosteoides var. hallaisanense,native,N,herbaceous,valley_flatland
Vitaceae,Cayratia japonica,native,N,herbaceous,valley_flatland
Dryopteridaceae,Arachniodes aristatissima,native,N,herbaceous,lower_slope
Araceae,Arisaema ringens,native,N,herbaceous,lower_slope
Urticaceae,Boehmeria pannosa,native,N,herbaceous,lower_slope
Primulaceae,Lysimachia japonica,native,N,herbaceous,lower_slope
Dryopteridaceae,Arachniodes aristatissima,native,N,herbaceous,valley_flatland
Ophioglossaceae,Botrychium japonicum,native,N,herbaceous,upper_slope
Lycopodiaceae,Huperzia serrata,native,N,herbaceous,upper_slope
Athyriaceae,Athyrium alpestre,native,N,herbaceous,upper_slope
Dryopteridaceae,Arachniodes aristatissima,native,N,herbaceous,upper_slope
Orchidaceae,Goodyera rosulacea,native,N,herbaceous,upper_slope
Apiaceae,Pimpinella hallaisanensis,native,N,herbaceous,upper_slope
Athyriaceae,Deparia japonica,native,N,herbaceous,upper_slope
Poaceae,Brachypodium sylvaticum,native,N,herbaceous,upper_slope
Orchidaceae,Calanthe discolor,native,N,herbaceous,upper_slope
Asteraceae,Ainsliaea apiculata,native,N,herbaceous,upper_slope
Ophioglossaceae,Botrychium japonicum,native,N,herbaceous,lower_slope
Polypodiaceae,Lemmaphyllum microphyllum,native,N,herbaceous,lower_slope
Orchidaceae,Goodyera schlechtendaliana,native,N,herbaceous,upper_slope
Thelypteridaceae,Cyclosorus acuminatus,native,N,herbaceous,upper_slope
Dryopteridaceae,Cyrtomium falcatum,native,N,herbaceous,upper_slope
Dryopteridaceae,Polystichum tagawanum,native,N,herbaceous,upper_slope
Apiaceae,Hydrocotyle maritima,native,N,herbaceous,upper_slope
Dryopteridaceae,Polystichum tagawanum,native,N,herbaceous,lower_slope
Lygodiaceae,Lygodium japonicum,native,N,herbaceous,lower_slope
Dryopteridaceae,Dryopteris monticola,native,N,herbaceous,lower_slope
Orchidaceae,Goodyera schlechtendaliana,native,N,herbaceous,lower_slope
Lycopodiaceae,Huperzia serrata,native,N,herbaceous,lower_slope
Asteraceae,Farfugium japonicum,native,N,herbaceous,valley_flatland
Dryopteridaceae,Dryopteris erythrosora,native,N,herbaceous,valley_flatland
Araceae,Arisaema ringens,native,N,herbaceous,valley_flatland
Poaceae,Sasa quelpaertensis,native,N,herbaceous,upper_slope
Thelypteridaceae,Leptogramma pozoi subsp. mollisima,native,N,herbaceous,upper_slope
Cucurbitaceae,Gynostemma pentaphyllum,native,N,herbaceous,upper_slope
Orchidaceae,Cephalanthera erecta,native,N,herbaceous,valley_flatland
Aspleniaceae,Asplenium incisum,native,N,herbaceous,valley_flatland
Dryopteridaceae,Dryopteris uniformis,native,N,herbaceous,upper_slope
Saxifragaceae,Kirengeshoma koreana,native,N,herbaceous,valley_flatland
Dryopteridaceae,Dryopteris monticola,native,N,herbaceous,valley_flatland
Dryopteridaceae,Dryopteris parasitica,native,N,herbaceous,valley_flatland
Euphorbiaceae,Acalypha australis,native,N,herbaceous,upper_slope
Polypodiaceae,Lemmaphyllum microphyllum,native,N,herbaceous,upper_slope
Thelypteridaceae,Cyclosorus acuminatus,native,N,herbaceous,lower_slope
Cucurbitaceae,Gynostemma pentaphyllum,native,N,herbaceous,lower_slope
Ophioglossaceae,Botrychium ternatum,native,NA,herbaceous,lower_slope
Lamiaceae,Clinopodium gracile var. multicaule,native,N,herbaceous,upper_slope
Ranunculaceae,Aconitum pseudolaeve,native,N,herbaceous,upper_slope
Papaveraceae,Hylomecon vernalis,native,N,herbaceous,upper_slope
Solanaceae,Scopolia japonica,native,N,herbaceous,upper_slope
Campanulaceae,Campanula punctata,native,N,herbaceous,lower_slope
Liliaceae,Hemerocallis thunbergii,native,N,herbaceous,upper_slope
Geraniaceae,Geranium thunbergii,native,N,herbaceous,upper_slope
Fabaceae,Aeschynomene indica,native,N,herbaceous,upper_slope
Fumariaceae,Corydalis pallida,native,N,herbaceous,lower_slope
Lamiaceae,Elsholtzia splendens,native,N,herbaceous,lower_slope
Dioscoreaceae,Dioscorea tenuipes,native,N,herbaceous,lower_slope
Liliaceae,Lilium distichum,native,N,herbaceous,upper_slope
Dryopteridaceae,Arachniodes amabilis,native,N,herbaceous,upper_slope
Liliaceae,Maianthemum bifolium,native,N,herbaceous,upper_slope
Apiaceae,Sanicula tuberculata,native,N,herbaceous,upper_slope
Liliaceae,Hosta minor,native,N,herbaceous,lower_slope
Liliaceae,Lilium concolor var. pulchellum,native,N,herbaceous,lower_slope
Violaceae,Viola verecunda,native,N,herbaceous,lower_slope
Poaceae,Sasa quelpaertensis,native,N,herbaceous,lower_slope
Poaceae,Sasa quelpaertensis,native,N,herbaceous,valley_flatland
Liliaceae,Hosta minor,native,N,herbaceous,valley_flatland
Balsaminaceae,Impatiens noli-tangere,native,N,herbaceous,lower_slope
Lamiaceae,Phlomis umbrosa,native,N,herbaceous,lower_slope
Dryopteridaceae,Polystichum lepidocaulon,native,N,herbaceous,lower_slope
Lamiaceae,Stachys japonica,native,N,herbaceous,lower_slope
Ranunculaceae,Cimicifuga japonica,native,N,herbaceous,lower_slope
Araceae,Arisaema heterophyllum,native,N,herbaceous,lower_slope
Pteridaceae,Coniogramme intermedia,native,N,herbaceous,lower_slope
Poaceae,Dimeria ornithopoda,native,N,herbaceous,upper_slope
Cyperaceae,Carex maximowiczii,native,N,herbaceous,upper_slope
Juncaceae,Juncus effusus var. decipiens,native,N,herbaceous,upper_slope
Haloragaceae,Haloragis micrantha,native,N,herbaceous,upper_slope
Apocynaceae,Cynanchum amplexicaule,native,N,herbaceous,upper_slope
Liliaceae,Allium taquetii,native,N,herbaceous,upper_slope
Apiaceae,Hydrocotyle ramiflora,native,N,herbaceous,upper_slope
Clusiaceae,Hypericum laxum,native,N,herbaceous,upper_slope
Poaceae,Agrostis clavata var. nukabo,native,N,herbaceous,upper_slope
Cyperaceae,Carex planiculmis,native,N,herbaceous,upper_slope
